product_id,product_name,category,unit_price,unit_cost
1,Automated executive standardization,Groceries,15.79,12.16
2,Virtual client-server Local Area Network,Sporting Goods,280.62,199.69
3,Multi-layered static standardization,Home & Kitchen,388.25,176.83
4,Cross-platform logistical policy,Electronics,355.24,185.2
5,Proactive real-time adapter,Sporting Goods,221.9,106.95
6,Profound intermediate orchestration,Electronics,282.19,146.38
7,Multi-layered regional neural-net,Apparel,40.58,26.53
8,Versatile intermediate infrastructure,Toys,78.4,48.3
9,Enhanced analyzing benchmark,Groceries,37.92,21.0
10,Decentralized homogeneous collaboration,Sporting Goods,153.83,85.28
11,Cross-platform cohesive migration,Beauty,28.55,17.24
12,Proactive clear-thinking throughput,Apparel,49.52,39.49
13,Networked radical middleware,Toys,48.11,22.17
14,Future-proofed object-oriented contingency,Toys,65.83,44.7
15,Multi-tiered asymmetric application,Home & Kitchen,368.81,288.19
16,Reduced analyzing contingency,Apparel,114.65,66.11
17,Centralized composite frame,Apparel,133.14,80.75
18,Grass-roots asynchronous model,Home & Kitchen,307.15,180.5
19,Secured bi-directional paradigm,Sporting Goods,134.81,70.64
20,Streamlined solution-oriented service-desk,Groceries,38.23,29.22
21,Centralized bandwidth-monitored process improvement,Apparel,94.98,45.72
22,Persevering zero tolerance project,Beauty,38.99,21.05
23,Up-sized full-range groupware,Home & Kitchen,276.26,197.65
24,Progressive static standardization,Beauty,61.51,36.79
25,Organic composite capacity,Apparel,89.99,43.24
26,Configurable zero-defect functionalities,Apparel,77.67,50.51
27,Business-focused optimizing flexibility,Toys,91.82,51.07
28,Multi-layered upward-trending contingency,Apparel,81.11,44.0
29,Synergistic real-time archive,Beauty,45.35,23.16
30,Reactive stable budgetary management,Home & Kitchen,375.61,236.75
31,Innovative modular time-frame,Groceries,38.52,22.35
32,Upgradable high-level structure,Electronics,799.58,486.0
33,Optional 6thgeneration leverage,Home & Kitchen,179.86,115.16
34,Operative real-time time-frame,Home & Kitchen,70.71,51.55
35,Configurable heuristic capacity,Groceries,5.78,3.73
36,Stand-alone background secured line,Beauty,27.83,18.3
37,Upgradable coherent orchestration,Electronics,61.46,44.61
38,Integrated bi-directional solution,Toys,85.57,67.5
39,Public-key interactive intranet,Home & Kitchen,101.13,63.16
40,Reverse-engineered 5thgeneration circuit,Groceries,8.06,4.78
41,Adaptive bi-directional utilization,Groceries,20.7,9.88
42,Decentralized clear-thinking support,Groceries,26.29,15.85
