campaign_id,campaign_name,city,start_date,end_date,marketing_spend,orders_generated,revenue_generated,roi
1,Reactive foreground capacity,Adelaide,2025-11-04,2025-12-03,27779.56,315,155258.57,4.589
2,Realigned transitional monitoring,Sydney,2025-11-01,2025-12-01,28219.6,362,188774.42,5.689
3,Innovative motivating core,Perth,2025-02-14,2025-03-14,15949.34,203,110098.94,5.903
4,Universal well-modulated Internet solution,Perth,2025-12-12,2026-01-17,27677.52,409,201905.63,6.295
5,Down-sized coherent workforce,Canberra,2026-01-29,2026-03-04,19273.95,452,234559.35,11.17
6,Switchable bi-directional methodology,Brisbane,2026-04-02,2026-04-20,12435.12,262,130936.55,9.53
7,Streamlined directional data-warehouse,Adelaide,2025-02-07,2025-03-07,14629.79,204,100548.79,5.873
8,Virtual multimedia open architecture,Brisbane,2026-03-30,2026-04-26,7679.87,389,199622.52,24.993
9,Profound coherent leverage,Melbourne,2025-05-26,2025-06-12,14513.82,170,79163.97,4.454
10,Extended 4thgeneration archive,Sydney,2025-01-14,2025-02-08,22897.45,211,110845.69,3.841
11,Optimized asymmetric capacity,Melbourne,2026-05-10,2026-06-11,39357.68,448,221215.39,4.621
12,Proactive systematic complexity,Canberra,2025-01-07,2025-01-25,13178.89,133,64241.91,3.875
13,De-engineered analyzing standardization,Brisbane,2025-12-22,2026-01-22,11632.06,353,164302.2,13.125
14,Reactive explicit Graphical User Interface,Adelaide,2025-12-11,2026-01-12,7017.93,372,160957.23,21.935
15,Total global attitude,Brisbane,2025-09-07,2025-09-23,7732.27,180,83321.51,9.776
16,Front-line encompassing firmware,Melbourne,2025-11-16,2025-12-30,18190.35,523,256233.42,13.086
17,Stand-alone 24/7 orchestration,Adelaide,2025-06-17,2025-07-12,31038.16,230,118119.67,2.806
18,Horizontal responsive challenge,Sydney,2025-08-25,2025-09-29,15083.64,392,201603.27,12.366
19,Multi-channeled solution-oriented Internet solution,Melbourne,2026-05-17,2026-06-07,29885.67,310,147925.59,3.95
20,Enhanced dedicated initiative,Adelaide,2026-01-28,2026-02-12,20745.0,165,78052.15,2.762
21,Robust even-keeled algorithm,Adelaide,2026-03-13,2026-04-10,27748.1,384,180403.62,5.501
22,Multi-lateral bandwidth-monitored forecast,Melbourne,2025-11-25,2026-01-03,33573.07,443,216483.48,5.448
23,Re-engineered explicit parallelism,Melbourne,2025-05-12,2025-06-18,14577.76,373,175956.51,11.07
24,Proactive tangible budgetary management,Melbourne,2025-10-04,2025-11-11,29393.09,391,189420.35,5.444
25,Vision-oriented bifurcated definition,Canberra,2025-02-08,2025-03-12,6886.18,229,101959.72,13.806
26,Digitized full-range leverage,Canberra,2025-10-05,2025-11-07,12908.85,349,167806.48,11.999
27,Public-key stable functionalities,Perth,2025-06-07,2025-07-13,9858.74,345,183869.96,17.65
28,Optional bifurcated time-frame,Canberra,2025-11-22,2025-12-06,10822.26,152,77027.56,6.118
29,Advanced zero tolerance hub,Melbourne,2025-09-18,2025-10-06,17597.55,197,100794.94,4.728
30,Optimized intangible functionalities,Perth,2026-04-27,2026-05-25,29284.09,404,191768.21,5.549
